freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.909e+01,6.526e+00,2.940e+02,3.296e+02
1.5,2.654e+01,1.994e+01,1.758e+02,2.223e+02
3.1,1.350e+01,2.140e+01,2.218e+01,5.708e+01
4.6,1.436e+01,2.072e+01,3.291e+02,3.642e+02
6.2,1.498e+01,1.878e+01,1.228e+03,1.262e+03
7.7,1.481e+01,1.899e+01,2.076e+03,2.110e+03
9.2,1.427e+01,2.008e+01,3.084e+03,3.119e+03
10.8,1.328e+01,1.961e+01,4.637e+03,4.670e+03
12.3,1.396e+01,2.120e+01,7.157e+03,7.192e+03
13.9,1.516e+01,2.954e+01,9.808e+03,9.853e+03
15.4,1.603e+01,3.464e+01,1.234e+04,1.239e+04
17.0,1.737e+01,2.784e+01,1.553e+04,1.557e+04
18.5,2.215e+01,3.222e+01,1.925e+04,1.931e+04
20.0,2.706e+01,3.840e+01,2.467e+04,2.473e+04
21.6,3.236e+01,2.791e+01,3.063e+04,3.069e+04
23.1,4.588e+01,4.177e+01,3.569e+04,3.577e+04
24.7,9.186e+01,6.969e+01,4.422e+04,4.438e+04
26.2,1.433e+02,1.015e+02,5.619e+04,5.643e+04
27.7,2.089e+02,1.441e+02,7.224e+04,7.259e+04
29.3,3.894e+02,2.221e+02,9.513e+04,9.574e+04
30.8,7.946e+02,3.901e+02,1.326e+05,1.337e+05
32.4,1.686e+03,7.755e+02,2.122e+05,2.146e+05
33.9,3.408e+03,1.736e+03,3.895e+05,3.947e+05
35.5,6.700e+03,2.531e+03,5.984e+05,6.077e+05
37.0,8.973e+03,2.220e+03,5.868e+05,5.980e+05
38.5,8.677e+03,1.200e+03,4.373e+05,4.472e+05
40.1,8.989e+03,7.143e+02,3.403e+05,3.500e+05
41.6,9.835e+03,6.171e+02,2.721e+05,2.825e+05
43.2,9.935e+03,6.538e+02,1.956e+05,2.062e+05
44.7,1.065e+04,9.395e+02,1.404e+05,1.520e+05
