freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.556e+01,1.440e+02,3.118e+02,4.813e+02
1.5,2.725e+01,9.528e+01,2.121e+02,3.346e+02
3.1,1.432e+01,2.110e+01,4.617e+01,8.159e+01
4.6,1.395e+01,2.079e+01,3.789e+02,4.137e+02
6.2,1.588e+01,2.120e+01,1.340e+03,1.377e+03
7.7,1.731e+01,2.007e+01,2.232e+03,2.269e+03
9.3,1.556e+01,2.063e+01,3.323e+03,3.359e+03
10.8,1.672e+01,2.169e+01,4.946e+03,4.985e+03
12.3,1.677e+01,2.559e+01,7.208e+03,7.250e+03
13.9,1.704e+01,2.461e+01,9.890e+03,9.932e+03
15.4,1.715e+01,2.272e+01,1.329e+04,1.333e+04
17.0,1.947e+01,2.594e+01,1.782e+04,1.786e+04
18.5,2.200e+01,4.020e+01,2.356e+04,2.362e+04
20.0,2.343e+01,6.201e+01,2.943e+04,2.951e+04
21.6,5.502e+01,1.157e+02,3.685e+04,3.702e+04
23.1,7.230e+01,2.599e+02,4.866e+04,4.899e+04
24.7,8.339e+01,5.603e+02,5.905e+04,5.969e+04
26.2,1.842e+02,5.880e+02,5.548e+04,5.625e+04
27.8,2.241e+02,9.709e+02,6.272e+04,6.392e+04
29.3,3.239e+02,2.593e+03,8.831e+04,9.122e+04
30.8,5.393e+02,5.772e+03,1.309e+05,1.372e+05
32.4,1.099e+03,1.419e+04,2.001e+05,2.154e+05
33.9,4.701e+03,4.596e+04,3.109e+05,3.616e+05
35.5,1.506e+04,1.186e+05,4.075e+05,5.412e+05
37.0,2.219e+04,1.735e+05,3.847e+05,5.804e+05
38.5,2.215e+04,1.887e+05,3.007e+05,5.116e+05
40.1,2.724e+04,2.204e+05,2.357e+05,4.833e+05
41.6,2.943e+04,2.377e+05,1.857e+05,4.528e+05
43.2,2.972e+04,2.124e+05,1.678e+05,4.100e+05
44.7,2.882e+04,2.130e+05,1.459e+05,3.877e+05
46.3,3.507e+04,3.237e+05,1.424e+05,5.012e+05
47.8,3.857e+04,3.598e+05,1.556e+05,5.540e+05
49.3,3.174e+04,2.596e+05,1.333e+05,4.246e+05
50.9,2.850e+04,1.639e+05,9.862e+04,2.910e+05
52.4,2.537e+04,1.363e+05,8.131e+04,2.429e+05
54.0,1.936e+04,1.452e+05,8.140e+04,2.459e+05
55.5,1.858e+04,1.474e+05,9.461e+04,2.606e+05
57.0,2.375e+04,1.127e+05,9.476e+04,2.312e+05
58.6,2.364e+04,8.575e+04,8.567e+04,1.951e+05
60.1,2.082e+04,7.717e+04,8.106e+04,1.791e+05
61.7,1.812e+04,6.777e+04,7.765e+04,1.635e+05
63.2,1.479e+04,5.154e+04,6.911e+04,1.354e+05
64.8,1.228e+04,3.286e+04,5.776e+04,1.029e+05
