freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.225e+01,2.905e+02,2.274e+01,3.455e+02
1.5,1.272e+02,1.803e+02,4.259e+01,3.501e+02
3.1,1.586e+02,3.561e+01,4.621e+01,2.404e+02
4.6,1.776e+02,3.345e+02,4.167e+01,5.538e+02
6.2,1.513e+02,1.191e+03,3.482e+01,1.377e+03
7.7,1.369e+02,2.025e+03,3.414e+01,2.196e+03
9.3,1.476e+02,2.911e+03,3.654e+01,3.095e+03
10.8,1.355e+02,4.034e+03,3.500e+01,4.205e+03
12.4,1.595e+02,5.479e+03,3.481e+01,5.673e+03
13.9,1.568e+02,7.114e+03,3.560e+01,7.307e+03
15.5,1.473e+02,9.049e+03,3.542e+01,9.232e+03
17.0,1.346e+02,1.079e+04,3.827e+01,1.096e+04
18.6,1.388e+02,1.263e+04,5.120e+01,1.282e+04
20.1,1.923e+02,1.604e+04,5.972e+01,1.629e+04
21.7,2.255e+02,2.029e+04,6.680e+01,2.058e+04
23.2,2.064e+02,2.416e+04,1.056e+02,2.447e+04
24.8,2.063e+02,2.750e+04,1.237e+02,2.783e+04
26.3,2.717e+02,3.229e+04,1.217e+02,3.268e+04
27.9,3.165e+02,3.962e+04,1.722e+02,4.011e+04
29.4,3.430e+02,5.001e+04,2.864e+02,5.064e+04
31.0,3.984e+02,6.418e+04,4.829e+02,6.506e+04
32.5,5.684e+02,8.140e+04,7.387e+02,8.271e+04
34.1,6.071e+02,1.010e+05,1.029e+03,1.027e+05
35.6,4.033e+02,1.217e+05,1.543e+03,1.237e+05
37.2,3.412e+02,1.464e+05,2.561e+03,1.493e+05
38.7,1.228e+03,1.792e+05,3.220e+03,1.837e+05
40.3,4.177e+03,2.246e+05,2.822e+03,2.316e+05
41.8,9.852e+03,2.895e+05,2.863e+03,3.022e+05
43.4,1.749e+04,3.692e+05,5.954e+03,3.927e+05
44.9,2.515e+04,5.165e+05,1.275e+04,5.544e+05
46.5,2.761e+04,7.105e+05,2.175e+04,7.599e+05
48.0,2.353e+04,8.997e+05,3.207e+04,9.553e+05
49.6,1.691e+04,8.673e+05,3.624e+04,9.205e+05
51.1,1.431e+04,6.677e+05,3.673e+04,7.187e+05
52.7,1.865e+04,5.384e+05,4.333e+04,6.004e+05
54.2,2.124e+04,4.094e+05,4.153e+04,4.722e+05
55.8,1.974e+04,3.083e+05,3.628e+04,3.643e+05
57.3,1.596e+04,2.401e+05,3.036e+04,2.865e+05
58.9,1.203e+04,1.621e+05,2.223e+04,1.963e+05
60.4,8.200e+03,8.674e+04,1.169e+04,1.066e+05
62.0,4.802e+03,5.328e+04,6.828e+03,6.491e+04
63.5,2.548e+03,4.335e+04,7.004e+03,5.290e+04
65.1,1.754e+03,3.466e+04,8.086e+03,4.450e+04
66.6,1.308e+03,2.350e+04,7.439e+03,3.225e+04
68.2,1.576e+03,1.664e+04,7.213e+03,2.543e+04
69.7,1.372e+03,1.233e+04,6.013e+03,1.971e+04
71.3,9.344e+02,9.176e+03,4.543e+03,1.465e+04
72.8,9.584e+02,6.286e+03,3.527e+03,1.077e+04
74.4,1.058e+03,4.578e+03,2.971e+03,8.607e+03
75.9,1.141e+03,4.053e+03,3.363e+03,8.558e+03
77.5,1.428e+03,3.429e+03,3.965e+03,8.822e+03
79.0,1.896e+03,3.590e+03,4.761e+03,1.025e+04
80.6,1.480e+03,3.244e+03,3.773e+03,8.497e+03
82.1,1.089e+03,3.172e+03,3.293e+03,7.555e+03
83.7,9.471e+02,3.262e+03,3.099e+03,7.308e+03
85.2,9.297e+02,3.282e+03,2.108e+03,6.320e+03
86.8,1.115e+03,3.443e+03,1.531e+03,6.089e+03
88.3,1.085e+03,3.250e+03,1.250e+03,5.585e+03
89.9,9.446e+02,2.937e+03,1.147e+03,5.029e+03
91.4,8.001e+02,2.673e+03,1.307e+03,4.781e+03
93.0,6.228e+02,2.387e+03,1.706e+03,4.716e+03
94.5,5.207e+02,1.811e+03,2.098e+03,4.430e+03
96.1,5.585e+02,1.190e+03,2.442e+03,4.190e+03
97.6,6.153e+02,9.351e+02,2.735e+03,4.286e+03
99.2,8.388e+02,8.658e+02,2.910e+03,4.614e+03
100.7,9.815e+02,8.769e+02,2.889e+03,4.747e+03
102.3,1.060e+03,9.488e+02,2.815e+03,4.824e+03
103.8,1.074e+03,1.148e+03,2.746e+03,4.967e+03
105.4,1.149e+03,1.439e+03,2.920e+03,5.509e+03
106.9,1.239e+03,1.763e+03,2.955e+03,5.957e+03
108.5,1.417e+03,2.177e+03,3.151e+03,6.746e+03
110.0,1.654e+03,2.734e+03,3.652e+03,8.040e+03
111.6,1.917e+03,3.453e+03,4.536e+03,9.907e+03
113.1,2.356e+03,4.217e+03,5.736e+03,1.231e+04
114.7,2.726e+03,4.708e+03,6.679e+03,1.411e+04
116.2,3.199e+03,5.290e+03,7.430e+03,1.592e+04
117.8,3.479e+03,5.655e+03,7.834e+03,1.697e+04
119.3,3.882e+03,6.361e+03,8.714e+03,1.896e+04
120.9,4.074e+03,6.530e+03,9.295e+03,1.990e+04
122.4,4.098e+03,6.643e+03,9.324e+03,2.007e+04
124.0,4.366e+03,7.859e+03,8.927e+03,2.115e+04
125.5,5.168e+03,1.043e+04,7.987e+03,2.359e+04
127.1,7.480e+03,1.367e+04,8.316e+03,2.946e+04
128.6,9.194e+03,1.348e+04,1.023e+04,3.290e+04
130.1,9.406e+03,1.475e+04,1.148e+04,3.564e+04
131.7,7.934e+03,1.664e+04,9.863e+03,3.444e+04
133.2,8.106e+03,2.091e+04,8.139e+03,3.715e+04
134.8,9.452e+03,2.627e+04,7.728e+03,4.345e+04
136.3,1.191e+04,3.310e+04,8.985e+03,5.399e+04
137.9,1.375e+04,3.819e+04,9.478e+03,6.142e+04
139.4,1.478e+04,4.150e+04,1.001e+04,6.630e+04
141.0,1.589e+04,4.525e+04,1.081e+04,7.195e+04
142.5,1.772e+04,4.960e+04,1.191e+04,7.923e+04
144.1,2.121e+04,5.864e+04,1.437e+04,9.422e+04
145.6,2.419e+04,6.331e+04,1.701e+04,1.045e+05
147.2,2.819e+04,6.779e+04,2.140e+04,1.174e+05
148.7,4.024e+04,8.587e+04,3.358e+04,1.597e+05
150.3,5.077e+04,1.086e+05,4.627e+04,2.056e+05
151.8,5.273e+04,1.157e+05,5.053e+04,2.190e+05
153.4,5.055e+04,1.118e+05,5.033e+04,2.127e+05
154.9,4.726e+04,1.053e+05,4.860e+04,2.012e+05
156.5,4.462e+04,9.895e+04,4.661e+04,1.902e+05
158.0,4.355e+04,9.512e+04,4.482e+04,1.835e+05
159.6,4.121e+04,9.160e+04,4.204e+04,1.748e+05
161.1,3.880e+04,8.726e+04,3.954e+04,1.656e+05
162.7,3.377e+04,7.674e+04,3.460e+04,1.451e+05
164.2,2.923e+04,6.822e+04,3.003e+04,1.275e+05
165.8,2.452e+04,5.799e+04,2.521e+04,1.077e+05
167.3,2.201e+04,5.247e+04,2.240e+04,9.688e+04
168.9,2.075e+04,4.980e+04,2.052e+04,9.107e+04
170.4,1.889e+04,4.532e+04,1.808e+04,8.229e+04
172.0,1.657e+04,4.070e+04,1.568e+04,7.295e+04
173.5,1.445e+04,3.646e+04,1.353e+04,6.445e+04
175.1,1.270e+04,3.279e+04,1.142e+04,5.692e+04
176.6,1.018e+04,2.682e+04,8.841e+03,4.584e+04
178.2,7.960e+03,2.169e+04,6.770e+03,3.642e+04
179.7,4.591e+03,1.348e+04,3.865e+03,2.194e+04
181.3,2.758e+03,8.986e+03,2.087e+03,1.383e+04
182.8,2.284e+03,7.917e+03,1.654e+03,1.185e+04
184.4,2.271e+03,7.920e+03,1.630e+03,1.182e+04
185.9,2.353e+03,7.999e+03,1.696e+03,1.205e+04
187.5,2.059e+03,6.990e+03,1.610e+03,1.066e+04
189.0,2.031e+03,6.857e+03,1.760e+03,1.065e+04
190.6,2.119e+03,7.064e+03,1.927e+03,1.111e+04
192.1,2.439e+03,7.882e+03,2.132e+03,1.245e+04
193.7,2.619e+03,8.538e+03,2.232e+03,1.339e+04
195.2,2.347e+03,8.130e+03,2.067e+03,1.254e+04
196.8,2.081e+03,7.275e+03,1.804e+03,1.116e+04
198.3,1.715e+03,6.203e+03,1.445e+03,9.363e+03
199.9,1.476e+03,5.666e+03,1.238e+03,8.380e+03
