freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.743e+02,1.026e+01,1.249e+01,5.971e+02
1.5,3.319e+02,2.415e+01,4.298e+01,3.991e+02
3.1,3.190e+01,2.231e+01,4.529e+01,9.950e+01
4.6,3.668e+02,2.124e+01,4.250e+01,4.306e+02
6.2,1.337e+03,2.136e+01,4.768e+01,1.406e+03
7.7,2.205e+03,2.404e+01,4.635e+01,2.276e+03
9.3,3.223e+03,2.542e+01,4.439e+01,3.293e+03
10.8,4.504e+03,2.420e+01,4.779e+01,4.576e+03
12.3,6.178e+03,2.351e+01,4.793e+01,6.250e+03
13.9,8.275e+03,2.439e+01,4.909e+01,8.348e+03
15.4,1.079e+04,2.471e+01,4.944e+01,1.086e+04
17.0,1.362e+04,2.344e+01,5.311e+01,1.369e+04
18.5,1.494e+04,2.240e+01,5.587e+01,1.502e+04
20.0,1.717e+04,2.473e+01,6.676e+01,1.726e+04
21.6,2.138e+04,2.453e+01,6.686e+01,2.147e+04
23.1,2.674e+04,2.437e+01,6.196e+01,2.683e+04
24.7,3.236e+04,2.163e+01,6.998e+01,3.245e+04
26.2,3.510e+04,2.332e+01,6.964e+01,3.519e+04
27.8,3.969e+04,2.452e+01,5.960e+01,3.978e+04
29.3,4.927e+04,2.470e+01,5.884e+01,4.936e+04
30.8,6.093e+04,2.592e+01,5.236e+01,6.100e+04
32.4,7.535e+04,2.354e+01,6.063e+01,7.543e+04
33.9,9.489e+04,2.630e+01,5.750e+01,9.497e+04
35.5,1.224e+05,5.398e+01,6.284e+01,1.226e+05
37.0,1.640e+05,1.158e+02,6.952e+01,1.642e+05
38.5,2.157e+05,2.426e+02,9.338e+01,2.160e+05
40.1,2.650e+05,4.982e+02,1.311e+02,2.657e+05
41.6,3.270e+05,9.010e+02,1.973e+02,3.281e+05
43.2,4.026e+05,3.071e+03,2.718e+02,4.059e+05
44.7,4.978e+05,7.116e+03,4.391e+02,5.053e+05
46.3,7.246e+05,7.880e+03,8.269e+02,7.333e+05
47.8,1.158e+06,9.819e+03,1.474e+03,1.170e+06
49.3,1.590e+06,1.004e+04,2.060e+03,1.602e+06
50.9,1.608e+06,1.363e+04,2.916e+03,1.625e+06
52.4,1.280e+06,1.787e+04,2.836e+03,1.301e+06
54.0,9.531e+05,1.430e+04,1.801e+03,9.692e+05
55.5,7.114e+05,1.780e+04,2.299e+03,7.315e+05
57.0,5.741e+05,1.495e+04,1.914e+03,5.910e+05
58.6,4.413e+05,8.145e+03,1.491e+03,4.510e+05
60.1,3.137e+05,3.097e+03,1.434e+03,3.182e+05
61.7,2.240e+05,1.002e+03,9.841e+02,2.260e+05
63.2,1.604e+05,7.387e+02,4.894e+02,1.616e+05
64.8,1.098e+05,1.677e+03,4.865e+02,1.120e+05
66.3,8.593e+04,3.198e+03,9.340e+02,9.006e+04
67.8,6.652e+04,3.952e+03,1.202e+03,7.168e+04
69.4,4.884e+04,2.808e+03,8.658e+02,5.251e+04
70.9,4.746e+04,1.591e+03,6.181e+02,4.967e+04
72.5,7.080e+04,2.178e+03,1.151e+03,7.413e+04
74.0,1.444e+05,3.688e+03,2.093e+03,1.501e+05
75.6,1.640e+05,2.180e+03,1.404e+03,1.676e+05
77.1,1.396e+05,7.492e+02,5.807e+02,1.409e+05
78.6,1.673e+05,2.633e+03,2.448e+03,1.724e+05
80.2,2.111e+05,3.917e+03,3.810e+03,2.188e+05
81.7,2.611e+05,2.662e+03,2.886e+03,2.666e+05
83.3,2.851e+05,1.029e+03,1.328e+03,2.874e+05
84.8,2.955e+05,6.533e+02,1.069e+03,2.972e+05
86.3,3.215e+05,9.998e+02,1.626e+03,3.242e+05
87.9,3.466e+05,1.172e+03,1.735e+03,3.495e+05
89.4,3.321e+05,1.043e+03,1.620e+03,3.347e+05
91.0,2.927e+05,1.134e+03,1.656e+03,2.955e+05
92.5,2.725e+05,1.059e+03,1.464e+03,2.751e+05
94.1,2.633e+05,8.612e+02,1.233e+03,2.654e+05
95.6,2.590e+05,6.984e+02,1.049e+03,2.608e+05
97.1,2.660e+05,5.667e+02,1.061e+03,2.676e+05
98.7,2.763e+05,5.345e+02,1.219e+03,2.780e+05
100.2,2.808e+05,7.685e+02,1.614e+03,2.832e+05
101.8,2.815e+05,1.140e+03,2.097e+03,2.847e+05
103.3,2.750e+05,1.395e+03,2.475e+03,2.788e+05
104.8,2.598e+05,1.488e+03,2.769e+03,2.641e+05
106.4,2.399e+05,1.451e+03,2.904e+03,2.442e+05
107.9,2.188e+05,1.397e+03,2.997e+03,2.232e+05
109.5,1.990e+05,1.374e+03,3.159e+03,2.035e+05
111.0,1.785e+05,1.293e+03,3.314e+03,1.831e+05
112.6,1.522e+05,1.181e+03,3.479e+03,1.568e+05
114.1,1.343e+05,1.224e+03,3.859e+03,1.394e+05
115.6,1.183e+05,1.274e+03,4.051e+03,1.237e+05
117.2,1.002e+05,1.137e+03,3.680e+03,1.051e+05
118.7,8.892e+04,8.948e+02,2.943e+03,9.276e+04
120.3,8.650e+04,6.786e+02,2.306e+03,8.949e+04
121.8,9.276e+04,4.837e+02,1.706e+03,9.495e+04
123.4,9.839e+04,3.815e+02,1.382e+03,1.002e+05
124.9,9.853e+04,4.056e+02,1.242e+03,1.002e+05
126.4,9.665e+04,4.669e+02,1.119e+03,9.824e+04
128.0,9.886e+04,5.861e+02,1.125e+03,1.006e+05
129.5,1.045e+05,7.409e+02,1.337e+03,1.066e+05
131.1,9.389e+04,8.783e+02,2.130e+03,9.690e+04
132.6,5.653e+04,7.095e+02,1.981e+03,5.922e+04
134.1,1.572e+04,3.047e+02,8.445e+02,1.687e+04
135.7,1.185e+04,2.267e+02,6.426e+02,1.271e+04
137.2,1.348e+04,2.505e+02,7.196e+02,1.445e+04
138.8,1.763e+04,2.461e+02,6.852e+02,1.857e+04
140.3,2.301e+04,2.981e+02,7.138e+02,2.402e+04
141.9,2.601e+04,3.328e+02,6.943e+02,2.704e+04
143.4,2.737e+04,3.882e+02,7.648e+02,2.852e+04
144.9,2.455e+04,4.845e+02,8.002e+02,2.583e+04
146.5,1.802e+04,5.507e+02,9.143e+02,1.949e+04
148.0,1.319e+04,5.582e+02,9.950e+02,1.474e+04
149.6,1.657e+04,6.354e+02,1.430e+03,1.863e+04
151.1,2.214e+04,6.732e+02,1.688e+03,2.450e+04
152.6,9.041e+03,5.875e+02,1.144e+03,1.077e+04
154.2,5.771e+03,3.931e+02,6.154e+02,6.779e+03
155.7,9.719e+03,4.082e+02,6.647e+02,1.079e+04
157.3,1.028e+04,4.385e+02,8.176e+02,1.153e+04
158.8,9.793e+03,4.634e+02,9.226e+02,1.118e+04
160.4,1.475e+04,4.909e+02,9.401e+02,1.618e+04
161.9,1.879e+04,5.256e+02,9.273e+02,2.024e+04
163.4,2.157e+04,6.083e+02,1.045e+03,2.323e+04
165.0,2.024e+04,6.845e+02,1.146e+03,2.207e+04
166.5,1.674e+04,6.105e+02,9.592e+02,1.831e+04
168.1,1.579e+04,5.928e+02,9.980e+02,1.738e+04
169.6,1.501e+04,6.581e+02,1.117e+03,1.679e+04
171.1,1.414e+04,7.271e+02,1.117e+03,1.599e+04
172.7,1.430e+04,8.514e+02,1.243e+03,1.639e+04
174.2,1.427e+04,9.367e+02,1.307e+03,1.652e+04
175.8,1.294e+04,1.018e+03,1.473e+03,1.543e+04
177.3,1.144e+04,1.131e+03,1.651e+03,1.423e+04
178.9,1.019e+04,1.205e+03,1.841e+03,1.324e+04
180.4,8.744e+03,1.190e+03,1.914e+03,1.185e+04
181.9,7.848e+03,1.167e+03,2.017e+03,1.103e+04
183.5,7.375e+03,1.118e+03,2.068e+03,1.056e+04
185.0,7.265e+03,1.089e+03,2.181e+03,1.053e+04
186.6,7.251e+03,1.063e+03,2.285e+03,1.060e+04
188.1,7.772e+03,1.042e+03,2.360e+03,1.117e+04
189.7,8.610e+03,9.823e+02,2.281e+03,1.187e+04
191.2,8.798e+03,9.316e+02,2.175e+03,1.190e+04
192.7,7.680e+03,1.021e+03,2.215e+03,1.092e+04
194.3,7.928e+03,1.060e+03,2.120e+03,1.111e+04
195.8,8.904e+03,9.279e+02,1.933e+03,1.176e+04
197.4,9.737e+03,8.474e+02,1.788e+03,1.237e+04
198.9,1.048e+04,8.486e+02,1.886e+03,1.321e+04
