freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.602e+02,1.011e+01,9.456e+00,5.798e+02
1.5,3.206e+02,2.184e+01,3.526e+01,3.777e+02
3.1,2.567e+01,2.330e+01,4.272e+01,9.170e+01
4.6,3.327e+02,2.399e+01,4.536e+01,4.020e+02
6.2,1.234e+03,2.131e+01,4.458e+01,1.300e+03
7.7,2.079e+03,2.100e+01,4.165e+01,2.142e+03
9.2,3.038e+03,2.027e+01,4.002e+01,3.099e+03
10.8,4.250e+03,2.083e+01,4.225e+01,4.313e+03
12.3,5.755e+03,2.132e+01,4.505e+01,5.821e+03
13.9,7.214e+03,2.260e+01,4.309e+01,7.279e+03
15.4,8.891e+03,2.127e+01,4.374e+01,8.956e+03
16.9,1.104e+04,2.089e+01,4.194e+01,1.111e+04
18.5,1.407e+04,2.152e+01,4.132e+01,1.413e+04
20.0,1.737e+04,2.291e+01,4.032e+01,1.743e+04
21.6,2.102e+04,2.304e+01,4.396e+01,2.108e+04
23.1,2.432e+04,2.461e+01,4.417e+01,2.438e+04
24.6,2.799e+04,2.396e+01,5.282e+01,2.806e+04
26.2,3.384e+04,2.454e+01,6.415e+01,3.393e+04
27.7,4.138e+04,2.571e+01,6.510e+01,4.147e+04
29.3,5.029e+04,2.521e+01,5.880e+01,5.037e+04
30.8,6.127e+04,3.002e+01,6.832e+01,6.137e+04
32.3,7.536e+04,4.085e+01,8.190e+01,7.549e+04
33.9,9.067e+04,4.397e+01,7.207e+01,9.078e+04
35.4,1.082e+05,4.705e+01,6.061e+01,1.083e+05
37.0,1.328e+05,8.106e+01,7.102e+01,1.329e+05
38.5,1.720e+05,1.402e+02,1.029e+02,1.722e+05
40.1,2.256e+05,2.356e+02,1.521e+02,2.260e+05
41.6,2.956e+05,4.139e+02,2.196e+02,2.963e+05
43.1,3.978e+05,8.074e+02,2.767e+02,3.988e+05
44.7,5.613e+05,1.406e+03,3.171e+02,5.630e+05
46.2,8.047e+05,1.385e+03,3.862e+02,8.065e+05
47.8,1.100e+06,2.366e+03,6.360e+02,1.103e+06
49.3,1.392e+06,4.698e+03,1.055e+03,1.397e+06
50.8,1.598e+06,8.421e+03,1.618e+03,1.608e+06
52.4,1.592e+06,1.198e+04,2.214e+03,1.606e+06
53.9,1.401e+06,9.473e+03,2.909e+03,1.413e+06
55.5,1.152e+06,3.372e+03,2.062e+03,1.158e+06
57.0,9.450e+05,1.097e+03,1.090e+03,9.472e+05
58.5,7.862e+05,2.481e+03,6.754e+02,7.894e+05
60.1,6.379e+05,5.225e+03,1.383e+03,6.445e+05
61.6,5.083e+05,8.511e+03,3.289e+03,5.201e+05
63.2,3.922e+05,1.118e+04,5.076e+03,4.084e+05
64.7,2.975e+05,1.325e+04,5.639e+03,3.164e+05
66.2,2.356e+05,1.563e+04,6.054e+03,2.573e+05
67.8,1.982e+05,1.526e+04,6.210e+03,2.197e+05
69.3,1.741e+05,7.995e+03,3.853e+03,1.859e+05
70.9,1.432e+05,3.481e+03,2.006e+03,1.487e+05
72.4,1.094e+05,1.681e+03,1.293e+03,1.124e+05
73.9,9.261e+04,1.112e+03,1.382e+03,9.511e+04
75.5,8.853e+04,1.302e+03,2.021e+03,9.186e+04
77.0,7.531e+04,1.205e+03,2.517e+03,7.903e+04
78.6,6.480e+04,8.647e+02,2.934e+03,6.860e+04
80.1,5.834e+04,1.227e+03,3.784e+03,6.335e+04
81.6,4.605e+04,1.735e+03,4.036e+03,5.182e+04
83.2,3.819e+04,2.103e+03,4.560e+03,4.485e+04
84.7,4.082e+04,2.001e+03,4.345e+03,4.717e+04
86.3,4.533e+04,1.655e+03,3.286e+03,5.027e+04
