freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.344e+02,1.117e+01,2.749e+02,5.204e+02
1.5,1.196e+03,3.308e+01,3.106e+02,1.539e+03
3.1,1.483e+03,3.467e+01,2.898e+02,1.807e+03
4.6,1.812e+03,3.456e+01,5.760e+02,2.422e+03
6.2,2.243e+03,3.720e+01,1.478e+03,3.758e+03
7.7,1.511e+03,3.198e+01,2.335e+03,3.878e+03
9.3,1.377e+03,3.022e+01,3.346e+03,4.753e+03
10.8,2.128e+03,3.907e+01,4.881e+03,7.048e+03
12.4,1.926e+03,3.658e+01,7.060e+03,9.023e+03
13.9,1.685e+03,3.750e+01,9.415e+03,1.114e+04
15.5,1.689e+03,4.782e+01,1.236e+04,1.409e+04
17.0,1.522e+03,7.272e+01,1.667e+04,1.826e+04
18.6,1.505e+03,6.941e+01,2.035e+04,2.193e+04
20.1,1.931e+03,4.946e+01,2.512e+04,2.710e+04
21.7,1.924e+03,5.945e+01,3.134e+04,3.332e+04
23.2,1.976e+03,9.966e+01,3.597e+04,3.805e+04
24.8,1.567e+03,8.034e+01,4.372e+04,4.537e+04
26.3,1.897e+03,9.564e+01,6.196e+04,6.396e+04
27.9,2.677e+03,2.562e+02,8.497e+04,8.791e+04
29.4,2.080e+03,3.190e+02,1.077e+05,1.101e+05
31.0,2.363e+03,3.969e+02,1.547e+05,1.574e+05
32.5,5.524e+03,7.744e+02,2.500e+05,2.563e+05
34.1,2.329e+04,1.928e+03,3.341e+05,3.593e+05
35.6,5.196e+04,3.687e+03,2.908e+05,3.464e+05
37.2,6.609e+04,4.763e+03,1.949e+05,2.657e+05
38.7,7.442e+04,4.875e+03,1.245e+05,2.038e+05
40.3,8.797e+04,4.303e+03,7.790e+04,1.702e+05
41.8,1.184e+05,3.505e+03,6.703e+04,1.889e+05
43.4,1.800e+05,3.273e+03,1.127e+05,2.960e+05
44.9,2.427e+05,3.526e+03,2.091e+05,4.553e+05
46.5,2.194e+05,2.784e+03,2.500e+05,4.722e+05
48.0,1.627e+05,1.755e+03,2.197e+05,3.842e+05
49.6,1.301e+05,9.478e+02,1.933e+05,3.243e+05
51.1,1.153e+05,7.026e+02,1.995e+05,3.156e+05
52.7,1.134e+05,1.248e+03,2.284e+05,3.431e+05
54.2,1.116e+05,1.834e+03,2.427e+05,3.561e+05
55.8,1.098e+05,1.972e+03,2.489e+05,3.607e+05
57.3,1.038e+05,1.335e+03,2.411e+05,3.463e+05
58.9,9.017e+04,7.452e+02,2.172e+05,3.081e+05
60.4,7.373e+04,6.581e+02,1.861e+05,2.605e+05
62.0,5.784e+04,1.056e+03,1.550e+05,2.139e+05
63.5,4.455e+04,2.273e+03,1.265e+05,1.733e+05
65.1,3.558e+04,3.297e+03,1.083e+05,1.471e+05
66.6,2.980e+04,3.360e+03,9.330e+04,1.265e+05
68.2,2.737e+04,4.474e+03,8.077e+04,1.126e+05
69.7,2.388e+04,4.688e+03,6.575e+04,9.432e+04
71.3,1.933e+04,4.455e+03,5.277e+04,7.656e+04
72.8,1.612e+04,3.929e+03,4.626e+04,6.630e+04
74.4,1.458e+04,3.777e+03,4.185e+04,6.021e+04
75.9,1.459e+04,5.370e+03,4.306e+04,6.301e+04
77.5,1.450e+04,5.944e+03,3.843e+04,5.888e+04
79.0,1.615e+04,6.555e+03,4.442e+04,6.713e+04
80.6,1.588e+04,6.800e+03,6.330e+04,8.597e+04
82.1,1.129e+04,6.250e+03,7.855e+04,9.609e+04
83.7,7.021e+03,5.403e+03,8.593e+04,9.835e+04
85.2,4.477e+03,4.377e+03,9.002e+04,9.887e+04
86.8,3.078e+03,3.764e+03,9.182e+04,9.866e+04
88.3,2.457e+03,3.529e+03,8.511e+04,9.110e+04
89.9,2.040e+03,3.781e+03,7.829e+04,8.411e+04
91.4,1.832e+03,4.378e+03,7.225e+04,7.846e+04
93.0,1.957e+03,4.445e+03,6.702e+04,7.342e+04
94.5,2.646e+03,3.633e+03,6.055e+04,6.682e+04
96.1,2.821e+03,2.681e+03,5.399e+04,5.949e+04
97.6,2.503e+03,1.950e+03,4.806e+04,5.251e+04
99.2,2.440e+03,1.394e+03,4.397e+04,4.780e+04
100.7,2.262e+03,1.657e+03,4.460e+04,4.852e+04
102.3,2.360e+03,2.717e+03,4.757e+04,5.264e+04
103.8,3.174e+03,3.749e+03,4.972e+04,5.664e+04
105.4,3.521e+03,4.253e+03,4.720e+04,5.497e+04
106.9,4.130e+03,4.699e+03,4.362e+04,5.245e+04
108.5,4.007e+03,5.321e+03,3.881e+04,4.814e+04
110.0,4.565e+03,6.053e+03,3.473e+04,4.535e+04
111.6,3.937e+03,6.033e+03,3.095e+04,4.092e+04
113.1,3.537e+03,5.828e+03,2.555e+04,3.492e+04
114.7,3.664e+03,6.075e+03,2.402e+04,3.376e+04
116.2,3.582e+03,6.688e+03,2.337e+04,3.364e+04
117.8,3.370e+03,6.672e+03,2.152e+04,3.156e+04
119.3,3.413e+03,6.498e+03,2.067e+04,3.058e+04
120.9,3.817e+03,6.486e+03,2.102e+04,3.132e+04
122.4,3.807e+03,5.963e+03,2.260e+04,3.237e+04
124.0,4.785e+03,5.134e+03,2.727e+04,3.719e+04
125.5,5.160e+03,4.588e+03,3.103e+04,4.078e+04
127.0,5.290e+03,4.087e+03,3.014e+04,3.952e+04
128.6,6.067e+03,3.861e+03,3.007e+04,4.000e+04
130.1,7.560e+03,3.248e+03,3.356e+04,4.437e+04
131.7,6.405e+03,2.897e+03,2.992e+04,3.922e+04
133.2,3.490e+03,3.286e+03,1.261e+04,1.939e+04
134.8,2.246e+03,4.023e+03,3.025e+03,9.294e+03
136.3,2.992e+03,4.715e+03,2.305e+03,1.001e+04
137.9,3.561e+03,5.231e+03,2.275e+03,1.107e+04
139.4,3.762e+03,5.545e+03,2.016e+03,1.132e+04
141.0,4.268e+03,6.242e+03,1.834e+03,1.234e+04
142.5,4.865e+03,6.730e+03,1.896e+03,1.349e+04
144.1,4.833e+03,6.977e+03,2.217e+03,1.403e+04
145.6,4.572e+03,6.855e+03,2.158e+03,1.359e+04
147.2,4.126e+03,6.127e+03,1.683e+03,1.194e+04
148.7,3.525e+03,5.044e+03,1.507e+03,1.008e+04
150.3,3.685e+03,3.877e+03,1.502e+03,9.063e+03
151.8,2.987e+03,3.336e+03,1.483e+03,7.806e+03
153.4,2.995e+03,3.479e+03,1.427e+03,7.901e+03
154.9,2.784e+03,3.223e+03,1.855e+03,7.863e+03
156.5,2.455e+03,2.437e+03,1.853e+03,6.745e+03
158.0,2.148e+03,1.792e+03,1.751e+03,5.691e+03
159.6,2.136e+03,1.508e+03,2.015e+03,5.659e+03
161.1,2.295e+03,1.405e+03,2.339e+03,6.038e+03
162.7,2.275e+03,1.259e+03,2.202e+03,5.736e+03
164.2,2.124e+03,1.146e+03,2.192e+03,5.462e+03
165.8,2.083e+03,1.070e+03,2.301e+03,5.453e+03
167.3,2.585e+03,1.057e+03,2.411e+03,6.054e+03
168.9,1.961e+03,7.609e+02,2.350e+03,5.072e+03
170.4,1.797e+03,8.108e+02,2.431e+03,5.039e+03
172.0,1.761e+03,1.256e+03,2.621e+03,5.638e+03
173.5,1.572e+03,1.494e+03,2.639e+03,5.705e+03
175.1,1.641e+03,1.582e+03,2.386e+03,5.609e+03
176.6,1.806e+03,1.745e+03,2.310e+03,5.861e+03
178.2,1.991e+03,2.009e+03,2.118e+03,6.118e+03
179.7,2.393e+03,2.024e+03,2.151e+03,6.568e+03
181.3,2.825e+03,1.859e+03,2.212e+03,6.896e+03
182.8,2.542e+03,1.729e+03,1.879e+03,6.150e+03
184.4,2.359e+03,1.743e+03,2.023e+03,6.125e+03
185.9,2.754e+03,1.553e+03,2.575e+03,6.882e+03
187.5,2.282e+03,1.041e+03,2.427e+03,5.750e+03
189.0,2.218e+03,7.960e+02,2.317e+03,5.330e+03
190.6,1.834e+03,5.572e+02,2.622e+03,5.013e+03
192.1,1.385e+03,4.490e+02,3.048e+03,4.882e+03
193.7,1.600e+03,5.212e+02,2.973e+03,5.094e+03
195.2,1.914e+03,5.910e+02,2.959e+03,5.464e+03
196.8,1.757e+03,5.989e+02,2.719e+03,5.075e+03
198.3,2.017e+03,6.198e+02,2.688e+03,5.325e+03
199.9,1.889e+03,6.718e+02,2.307e+03,4.868e+03
