freq,psd_x,psd_y,psd_z,psd_xyz
140.2,8.709e+02,1.240e+03,1.618e+03,3.729e+03
141.8,7.937e+02,1.283e+03,1.438e+03,3.515e+03
143.3,8.768e+02,1.208e+03,1.662e+03,3.746e+03
144.9,1.053e+03,1.184e+03,2.044e+03,4.281e+03
146.4,1.190e+03,1.203e+03,2.194e+03,4.586e+03
147.9,1.228e+03,1.294e+03,2.110e+03,4.632e+03
149.5,1.389e+03,1.664e+03,2.278e+03,5.331e+03
151.0,1.348e+03,1.694e+03,2.296e+03,5.338e+03
152.6,1.312e+03,1.922e+03,2.620e+03,5.854e+03
154.1,1.718e+03,2.530e+03,3.699e+03,7.948e+03
155.6,2.109e+03,3.370e+03,4.510e+03,9.990e+03
157.2,2.326e+03,4.532e+03,4.664e+03,1.152e+04
158.7,2.367e+03,5.390e+03,4.969e+03,1.273e+04
160.3,2.327e+03,6.015e+03,4.996e+03,1.334e+04
161.8,2.384e+03,6.617e+03,5.530e+03,1.453e+04
163.3,2.201e+03,6.496e+03,5.929e+03,1.463e+04
164.9,2.212e+03,6.238e+03,5.897e+03,1.435e+04
166.4,2.188e+03,5.641e+03,5.900e+03,1.373e+04
168.0,2.088e+03,5.204e+03,6.460e+03,1.375e+04
169.5,2.359e+03,5.457e+03,7.232e+03,1.505e+04
171.1,2.825e+03,5.947e+03,7.751e+03,1.652e+04
172.6,3.093e+03,5.972e+03,8.429e+03,1.749e+04
174.1,3.294e+03,6.081e+03,9.260e+03,1.863e+04
175.7,3.709e+03,6.876e+03,9.986e+03,2.057e+04
177.2,4.228e+03,7.759e+03,1.070e+04,2.269e+04
178.8,4.433e+03,8.176e+03,1.101e+04,2.362e+04
180.3,4.709e+03,8.060e+03,1.153e+04,2.430e+04
181.8,5.226e+03,8.560e+03,1.177e+04,2.556e+04
183.4,6.381e+03,1.060e+04,1.221e+04,2.919e+04
184.9,7.664e+03,1.306e+04,1.273e+04,3.345e+04
186.5,8.846e+03,1.540e+04,1.268e+04,3.693e+04
188.0,1.016e+04,1.830e+04,1.261e+04,4.107e+04
189.5,1.121e+04,2.021e+04,1.291e+04,4.434e+04
191.1,1.204e+04,2.174e+04,1.384e+04,4.762e+04
192.6,1.228e+04,2.229e+04,1.412e+04,4.868e+04
194.2,1.167e+04,2.065e+04,1.340e+04,4.571e+04
195.7,1.028e+04,1.834e+04,1.130e+04,3.993e+04
197.2,8.693e+03,1.621e+04,8.616e+03,3.352e+04
198.8,9.084e+03,1.792e+04,8.294e+03,3.529e+04
